clave_prod,obra,productora,anio_inicio,anio_fin,teatro,ciudad_principal,gira,fuente_url,activa,duracion
"101 dálmatas, el musical | teatropolis (gran teatro caixabank príncipe pío) | 2023 | nan","101 Dálmatas, el musical",Teatropolis (Gran Teatro CaixaBank Príncipe Pío),2023,,Gran Teatro CaixaBank Príncipe Pío,Madrid,No,https://www.granteatrocaixabankprincipepio.com/,True,85.0
aladdín | stage entertainment | 2023 | 2025.0,Aladdín,Stage Entertainment,2023,2025.0,Teatro Coliseum,Madrid,No,https://www.stage.es/musicales/aladdin/,False,145.0
anastasia | stage entertainment | 2018 | 2020.0,Anastasia,Stage Entertainment,2018,2020.0,Teatro Coliseum,Madrid,No,https://www.stage.es/musicales/anastasia/,False,145.0
avenue q | teatropolis (gran teatro caixabank príncipe pío) | 2024 | nan,Avenue Q,Teatropolis (Gran Teatro CaixaBank Príncipe Pío),2024,,Gran Teatro CaixaBank Príncipe Pío,Madrid,No,https://es.wikipedia.org/wiki/Avenue_Q,True,100.0
billy elliot | som produce | 2017 | 2020.0,Billy Elliot,ATG Entertainment,2017,2020.0,Nuevo Teatro Alcalá,Madrid,Sí,https://somproduce.com/musicales/billy-elliot/,False,150.0
cabaret | let's go company | 2025 | nan,Cabaret,Let's Go Company,2025,,Albéniz,Madrid,No,fuente: observación personal,True,150.0
cenicienta | stage entertainment | 2025 | nan,Cenicienta,Stage Entertainment,2025,,Coliseum,Madrid,No,fuente: observación personal,True,145.0
charlie y la fábrica de chocolate | let's go company | 2021 | 2022.0,Charlie y la fábrica de chocolate,Let's Go Company,2021,2022.0,Espacio Ibercaja Delicias,Madrid,Sí,https://www.teatroalamedia.com/charlie-y-la-fabrica-de-chocolate/,False,150.0
chicago | som produce | 2023 | 2025.0,Chicago,ATG Entertainment,2023,2025.0,Teatro Apolo,Madrid,Sí,https://somproduce.com/musicales/chicago/,False,150.0
dirty dancing | let's go company | 2018 | 2023.0,Dirty Dancing,Let's Go Company,2018,2023.0,Teatro Nuevo Alcalá,Madrid,Sí,https://www.entradas.com/artist/dirty-dancing/,False,145.0
el día de la marmota | nostromo live | 2024 | 2025.0,El Día de la Marmota,Nostromo Live,2024,2025.0,Teatro Coliseum (BCN),Barcelona,No,https://www.nostromolive.com/espectaculos/el-dia-de-la-marmota/,False,150.0
el fantasma de la ópera | let's go company | 2023 | nan,El Fantasma de la Ópera,Let's Go Company,2023,,UMusic Hotel Teatro Albéniz,Madrid,Sí,https://www.stage-entertainment.es/musicales/el-fantasma-de-la-opera,True,150.0
el guardaespaldas | stage entertainment | 2017 | 2018.0,El Guardaespaldas,Stage Entertainment,2017,2018.0,Teatro Coliseum,Madrid,Sí,https://es.wikipedia.org/wiki/El_Guardaespaldas_(musical)#Producciones,False,160.0
el jovencito frankenstein | let's go company | 2018 | 2019.0,El Jovencito Frankenstein,Let's Go Company,2018,2019.0,Teatro Gran Vía,Madrid,No,https://letsgo.es/espectaculos/el-jovencito-frankenstein/,False,135.0
el médico | beon entertainment | 2018 | 2023.0,El Médico,Beon Entertainment,2018,2023.0,Teatro Nuevo Apolo,Madrid,Sí,https://www.beonworldwide.com/proyectos/el-medico-el-musical/,False,170.0
el rey león | stage entertainment | 2011 | nan,El Rey León,Stage Entertainment,2011,,Teatro Lope de Vega,Madrid,No,https://www.stage.es/musicales/el-rey-leon/,True,165.0
el tiempo entre costuras | beon entertainment | 2021 | 2024.0,El Tiempo entre Costuras,Beon Entertainment,2021,2024.0,Teatro Principal de Zaragoza,Madrid,Sí,https://www.beonworldwide.com/proyectos/el-tiempo-entre-costuras/,False,150.0
"ghost, el musical | let's go company | 2019 | 2024.0","Ghost, el musical",Let's Go Company,2019,2024.0,Teatro EDP Gran Vía,Madrid,Sí,https://www.lacoctelera.com/ghost-el-musical/,False,150.0
grease | som produce | 2021 | 2023.0,Grease,ATG Entertainment,2021,2023.0,Nuevo Teatro Alcalá,Madrid,Sí,https://somproduce.com/musicales/grease/,False,150.0
houdini | let's go company | 2025 | nan,Houdini,Let's Go Company,2025,,Teatro Calderón,Madrid,No,https://www.houdinielmusical.com/,True,95.0
kinky boots | let's go company | 2021 | 2022.0,Kinky Boots,Let's Go Company,2021,2022.0,Espacio Delicias / Teatro Calderón,Madrid,No,https://es.wikipedia.org/wiki/Kinky_Boots_(musical),False,140.0
kinky boots | theatre properties | 2024 | 2025.0,Kinky Boots,Theatre Properties,2024,2025.0,Teatro Rialto,Gira,Sí,https://theatreproperties.com/kinky-boots/,False,140.0
la alegría que pasa | dagoll dagom | 2022 | 2023.0,La Alegría que Pasa,Dagoll Dagom,2022,2023.0,Teatre Poliorama,Barcelona,Sí,https://www.dagolldagom.com/espectacle/la-alegria-que-pasa/,False,105.0
la familia addams | let's go company | 2017 | 2018.0,La Familia Addams,Let's Go Company,2017,2018.0,Teatro Calderón,Madrid,Sí,https://www.entradas.com/artist/la-familia-addams/,False,150.0
la historia interminable | beon entertainment | 2022 | 2024.0,La Historia Interminable,Beon Entertainment,2022,2024.0,Teatro Calderón,Madrid,Sí,https://www.beonworldwide.com/proyectos/la-historia-interminable/,False,160.0
la jaula de las locas | nostromo live | 2018 | 2020.0,La Jaula de las Locas,Nostromo Live,2018,2020.0,Teatro Tívoli,Barcelona,Sí,https://www.nostromolive.com/espectaculos/la-jaula-de-las-locas/,False,150.0
los miserables | som produce | 2025 | nan,Los Miserables,ATG Entertainment,2025,,Teatro Apolo (prev.),Madrid,No,https://www.stage.es/musicales/los-miserables,True,170.0
los pilares de la tierra | beon entertainment | 2024 | nan,Los Pilares de la Tierra,Beon Entertainment,2024,,Teatro EDP Gran Vía,Madrid,Sí,https://www.beonworldwide.com/proyectos/los-pilares-de-la-tierra/,True,145.0
los productores | nostromo live | 2023 | 2024.0,Los Productores,Nostromo Live,2023,2024.0,Teatro Tívoli,Barcelona,Sí,https://www.stage.es/musicales/los-productores,False,150.0
mamma mia! | som produce | 2022 | nan,Mamma Mia!,ATG Entertainment,2022,,Teatro Rialto,Madrid,Sí,https://somproduce.com/musicales/mamma-mia/,True,155.0
matilda | som produce | 2022 | 2024.0,Matilda,ATG Entertainment,2022,2024.0,Nuevo Teatro Alcalá,Madrid,No,https://somproduce.com/musicales/matilda/,False,120.0
"priscilla, reina del desierto | som produce | 2014 | 2015.0","Priscilla, reina del desierto",ATG Entertainment,2014,2015.0,Nuevo Teatro Alcalá,Madrid,Sí,https://somproduce.com/musicales/priscilla/,False,150.0
"romeo y julieta, el musical | theatre properties | 2021 | 2024.0","Romeo y Julieta, el musical",Theatre Properties,2021,2024.0,La Latina,Madrid / Gira,Sí,https://www.carteleramusicales.es/madrid-provincia/romeo-y-julieta-un-amor-inmortal,False,130.0
school of rock | let's go company | 2024 | 2024.0,School of Rock,Let's Go Company,2024,2024.0,Espacio Delicias,Madrid,No,https://es.wikipedia.org/wiki/School_of_Rock_(musical),False,160.0
the book of mormon | som produce | 2023 | nan,The Book of Mormon,ATG Entertainment,2023,,Teatro Calderón / Rialto,Madrid,No,https://somproduce.com/musicales/the-book-of-mormon/,True,140.0
"the full monty, el musical | theatre properties | 2022 | 2023.0","The Full Monty, el musical",Theatre Properties,2022,2023.0,Teatro Rialto,Madrid,Sí,https://es.wikipedia.org/wiki/The_Full_Monty_(musical),False,150.0
the hole | let's go company | 2011 | 2023.0,The Hole,Let's Go Company,2011,2023.0,Teatro Calderón / Giras,Madrid,Sí,https://letsgo.es/the-hole/,False,120.0
tina | stage entertainment | 2021 | 2023.0,Tina,Stage Entertainment,2021,2023.0,Teatro Coliseum,Madrid,No,https://www.stage.es/musicales/tina/,False,160.0
we will rock you | teatropolis (gran teatro caixabank príncipe pío) | 2023 | nan,We Will Rock You,Teatropolis (Gran Teatro CaixaBank Príncipe Pío),2023,,Gran Teatro CaixaBank Príncipe Pío,Madrid,No,https://www.wewillrockyou.es,True,150.0
mari i cel | dagoll dagom | 2024 | 2025.0,Mari i Cel,Dagoll Dagom,2024,2025.0,Teatre Victòria,Barcelona,Sí,https://maricelelmusical.cat/,False,150.0
annie | theatre properties | 2010 | 2011,Annie,Theatre Properties,2010,2011.0,Nuevo Alcalá,Madrid,No,https://www.carteleramusicales.es/,False,120.0
avenue q | smedia | 2010 | 2011,Avenue Q,Smedia,2010,2011.0,Nuevo Apolo,Madrid,No,https://www.carteleramusicales.es/,False,135.0
cantando bajo la lluvia | nostromo live | 2021 | 2023,Cantando bajo la lluvia,Nostromo Live,2021,2023.0,Tívoli,Barcelona,Si,https://www.carteleramusicales.es/cantando-bajo-la-lluvia-2021,False,150.0
come from away | the stage company | 2024 | 2025,Come from away,The Stage Company,2024,2025.0,Marquina,Madrid,No,https://www.grupomarquina.es/espectaculos/come-from-away-musical-teatro-madrid,False,100.0
company | teatro del soho s.l. | 2021 | 2023,Company,Teatro del Soho S.L.,2021,2023.0,Del Soho,Málaga,No,https://teatrodelsoho.com/evento/company/,False,170.0
el ascensor | actor’s first. | 2017 | 2018,El ascensor,Actor’s First.,2017,2018.0,Pavón,Madrid,Si,El ascensor (2017) - Cartelera Musicales,False,70.0
el día de la marmota | nostromo live | 2024 | 2025,El día de la marmota,Nostromo Live,2024,2025.0,Coliseum,Barcelona,No,https://www.balanaenviu.com/es/espectaculo/el-dia-de-la-marmota,False,150.0
el último jinete | arabian horses production ltd | 2012 | 2013,El último jinete,Arabian Horses Production LTD,2012,2013.0,Teatros del Canal,Madrid,No,https://www.carteleramusicales.es/el-ultimo-jinete-2012,False,130.0
en tierra extraña | atg entertainment | 2021 | 2023,En tierra extraña,ATG Entertainment,2021,2023.0,Español,Madrid,Si,https://www.teatroespanol.es/en-tierra-extrana,False,100.0
flashdance | selladoor worldwide | 2019 | 2020,Flashdance,Selladoor Worldwide,2019,2020.0,Tívoli,Barcelona,Si,Flashdance (2019) - Cartelera Musicales,False,150.0
follies | mario gas | 2012 | 2013,Follies,Mario Gas,2012,2013.0,Español,Madrid,No,https://www.carteleramusicales.es/follies-2012,False,160.0
forever young | tricicle | 2011 | 2022,Forever Young,Tricicle,2011,2022.0,Edp Gran Via,Madrid,Si,Forever Young - Compañía Teatral Tricicle,False,100.0
golfus de roma | euroscena | 2015 | 2015,Golfus de Roma,Euroscena,2015,2015.0,Veranos de la Villa,Madrid,No,Golfus de Roma (2015) - Cartelera Musicales,False,90.0
golfus de roma | pentación espectáculos | 2022 | 2023,Golfus de Roma,Pentación Espectáculos,2022,2023.0,La latina,Madrid,Si,https://www.carteleramusicales.es/golfus-de-roma-2022,False,155.0
grease | drive entertainment | 2011 | 2014,Grease,Drive Entertainment,2011,2014.0,Las Arenas,Barcelona,Si,Grease (2011) - Cartelera Musicales,False,150.0
gypsy | teatro del soho s.l. | 2024 | 2025,Gypsy,Teatro del Soho S.L.,2024,2025.0,Del Soho,Málaga,No,https://teatrodelsoho.com/tag/gipsy/,False,180.0
hair | the william morris agency endeavor entertainment; illuminati production group; publintermedia consulting; jk productions | 2010 | 2011,Hair,The William Morris Agency Endeavor Entertainment; Illuminati Production Group; Publintermedia Consulting; JK Productions,2010,2011.0,Apolo,Barcelona,No,https://www.carteleramusicales.es/,False,150.0
la bella y la bestia | stage entertainment | 2012 | 2013,La bella y la bestia,Stage Entertainment,2012,2013.0,Calderón,Valladolid,Si,https://www.stage.es/musicales/la-bella-y-la-bestia,False,160.0
la llamada | los javies | 2013 | 2024,La llamada,Los Javis,2013,2024.0,Lara,Madrid,Si,La llamada (2013) - Cartelera Musicales,False,95.0
"la movida,el musical | theatre properties | 2024 | 2025","La movida,el musical",Theatre Properties,2024,2025.0,Coliseum,Barcelona,Si,La movida el musical de los 80 - Theatre Properties,False,130.0
los miserables | stage entertainment | 2010 | 2012,Los miserables,Stage Entertainment,2010,2012.0,Lope de Vega,Madrid,Si,https://www.stage.es/musicales/los-miserables,False,170.0
los puentes de madison | smedia | 2022 | 2023,Los puentes de Madison,Smedia,2022,2023.0,Edp Gran Via,Madrid,No,"Los Puentes de Madison, El Musical",False,120.0
malinche | hatchwell inversiones musicales s.l. | 2022 | 2025,Malinche,Hatchwell Inversiones Musicales S.L.,2022,2025.0,Ifema Madrid Live,Madrid,Si,https://malinchethemusical.com/cdmx/,False,175.0
marta tiene un marcapasos | smedia | 2013 | 2014,Marta tiene un marcapasos,Smedia,2013,2014.0,Edp Gran Via,Madrid,Si,Marta tiene un marcapasos (2013) - Cartelera Musicales,False,160.0
mas de 100 mentiras | drive entertainment | 2011 | 2013,Mas de 100 mentiras,Drive Entertainment,2011,2013.0,Rialto,Madrid,Si,Más de 100 mentiras (2011) - Cartelera Musicales,False,170.0
my fair lady | stage entertainment | 2012 | 2012,My fair lady,Stage Entertainment,2012,2012.0,Adán Martín ,Tenerife,Si,https://www.stage.es/musicales/my-fair-lady,False,165.0
pegados | ferran gonzález & alícia serrat | 2010 | 2013,Pegados,Ferran González & Alícia Serrat,2010,2013.0,Almería Teatre,Barcelona,Si,Pegados (2010) - Cartelera Musicales,False,80.0
quien mató a sherlock holmes? | beon entertainment | 2020 | 2021,Quien mató a Sherlock Holmes?,Beon Entertainment,2020,2021.0,Edp Gran Via,Madrid,No,https://gruposmedia.com/historico/quien-mato-a-sherlock-holmes-el-musical,False,105.0
sister act | stage entertainment | 2014 | 2016,Sister Act,Stage Entertainment,2014,2016.0,Tívoli,Barcelona,Si,https://www.stage.es/musicales/sister-act,False,150.0
sonrisas y lágrimas | atg entertainment | 2011 | 2013,Sonrisas y lágrimas,ATG Entertainment,2011,2013.0,Coliseum,Madrid,Si,https://www.carteleramusicales.es/sonrisas-y-lagrimas,False,150.0
the full monty | theatre properties | 2021 | 2023,The full monty,Theatre Properties,2021,2023.0,Rialto,Madrid,Si,https://www.carteleramusicales.es/the-full-monty-2021,False,150.0
tocando nuestra canción | teatro del soho s.l. | 2024 | 2024,Tocando nuestra canción,Teatro del Soho S.L.,2024,2024.0,Del Soho,Málaga,No,"Tocando nuestra canción, el nuevo musical dirigido por Antonio Banderas, ya a la venta - Teatro Soho CaixaBank",False,165.0
una rubia muy legal | pentación espectáculos | 2023 | 2024,Una rubia muy legal,Pentación Espectáculos,2023,2024.0,La latina,Madrid,No,https://www.carteleramusicales.es/una-rubia-muy-legal-2023,False,150.0
