obra,productora,anio_inicio,anio_fin,teatro,ciudad_principal,gira,fuente_url,activa,duracion
"101 Dálmatas, el musical",Teatropolis (Gran Teatro CaixaBank Príncipe Pío),2023,,Gran Teatro CaixaBank Príncipe Pío,Madrid,No,https://www.granteatrocaixabankprincipepio.com/,True,
Aladdín,Stage Entertainment,2023,2025.0,Teatro Coliseum,Madrid,No,https://www.stage.es/musicales/aladdin/,False,2.0
Anastasia,Stage Entertainment,2018,2020.0,Teatro Coliseum,Madrid,No,https://www.stage.es/musicales/anastasia/,False,2.0
Avenue Q,Teatropolis (Gran Teatro CaixaBank Príncipe Pío),2024,,Gran Teatro CaixaBank Príncipe Pío,Madrid,No,https://es.wikipedia.org/wiki/Avenue_Q,True,
Billy Elliot,SOM Produce,2017,2020.0,Nuevo Teatro Alcalá,Madrid,Sí,https://somproduce.com/musicales/billy-elliot/,False,3.0
Cabaret,Let's Go Company,2025,,Albéniz,Madrid,No,fuente: observación personal,True,
Cenicienta,Stage Entertainment,2025,,Coliseum,Madrid,No,fuente: observación personal,True,
Charlie y la fábrica de chocolate,Let's Go Company,2021,2022.0,Espacio Ibercaja Delicias,Madrid,Sí,https://www.teatroalamedia.com/charlie-y-la-fabrica-de-chocolate/,False,1.0
Chicago,SOM Produce,2023,2025.0,Teatro Apolo,Madrid,Sí,https://somproduce.com/musicales/chicago/,False,2.0
Dirty Dancing,Let's Go Company,2018,2023.0,Teatro Nuevo Alcalá,Madrid,Sí,https://www.entradas.com/artist/dirty-dancing/,False,5.0
El Día de la Marmota,Nostromo Live,2024,2025.0,Teatro Coliseum (BCN),Barcelona,No,https://www.nostromolive.com/espectaculos/el-dia-de-la-marmota/,False,1.0
El Fantasma de la Ópera,Let's Go Company,2023,,UMusic Hotel Teatro Albéniz,Madrid,Sí,https://www.stage-entertainment.es/musicales/el-fantasma-de-la-opera,True,
El Guardaespaldas,Stage Entertainment,2017,2018.0,Teatro Coliseum,Madrid,Sí,https://es.wikipedia.org/wiki/El_Guardaespaldas_(musical)#Producciones,False,1.0
El Jovencito Frankenstein,Let's Go Company,2018,2019.0,Teatro Gran Vía,Madrid,No,https://letsgo.es/espectaculos/el-jovencito-frankenstein/,False,1.0
El Médico,Beon Entertainment,2018,2023.0,Teatro Nuevo Apolo,Madrid,Sí,https://www.beonworldwide.com/proyectos/el-medico-el-musical/,False,5.0
El Rey León,Stage Entertainment,2011,,Teatro Lope de Vega,Madrid,No,https://www.stage.es/musicales/el-rey-leon/,True,
El Tiempo entre Costuras,Beon Entertainment,2021,2024.0,Teatro Principal de Zaragoza,Madrid,Sí,https://www.beonworldwide.com/proyectos/el-tiempo-entre-costuras/,False,3.0
"Ghost, el musical",Let's Go Company,2019,2024.0,Teatro EDP Gran Vía,Madrid,Sí,https://www.lacoctelera.com/ghost-el-musical/,False,5.0
Grease,SOM Produce,2021,2023.0,Nuevo Teatro Alcalá,Madrid,Sí,https://somproduce.com/musicales/grease/,False,2.0
Houdini,Let's Go Company,2025,,Teatro Calderón,Madrid,No,https://www.houdinielmusical.com/,True,
Kinky Boots,Let's Go Company,2021,2022.0,Espacio Delicias / Teatro Calderón,Madrid,No,https://es.wikipedia.org/wiki/Kinky_Boots_(musical),False,1.0
