Categoria,2010-2011,2014-2015,2018-2019,2021-2022,2024-2025,Cambio_2010_2025
TOTAL,27.8,29.9,30.8,10.5,30.0,2.1999999999999993
Hombres,25.0,26.8,27.8,9.7,26.6,1.6000000000000014
Mujeres,30.5,32.9,33.7,11.3,33.2,2.700000000000003
15–24 años,31.2,35.3,38.1,12.1,30.5,-0.6999999999999993
25–34 años,33.3,32.4,34.5,12.5,31.2,-2.099999999999998
35–44 años,35.7,36.8,37.1,12.8,35.0,-0.7000000000000028
45–54 años,30.1,32.9,32.3,11.4,34.1,4.0
55+ años,17.5,21.6,23.4,7.9,25.5,8.0
Primaria,17.8,18.1,19.4,6.4,18.3,0.5
Secundaria,33.0,34.2,40.0,9.9,28.3,-4.699999999999999
Superior,43.3,49.2,47.0,16.4,45.1,1.8000000000000043
